wave,lane,variant,config,seed,priority,est_min,owner,status,notes
0,L0-CPU,-,build_dataset,42,P0,20,,pending,"blocks everything; publish zip + md5 first"
0,L0-CPU,-,medsam_cache_busi,42,P0,12,,pending,"117 test images; CPU is fine"
0,L0-CPU,-,medsam_standalone,42,P1,8,,pending,"section 4.3 oracle Dice/IoU"
1,L1,yolov10b,A,42,P0,65,,pending,"critical path; start first"
1,L2,yolov10n,A,42,P0,25,,pending,
1,L3,yolo11s,A,42,P0,25,,pending,
1,L4,yolov10x,B,42,P1,110,,pending,"longest Table 3 job; start early so it isn't the tail"
2,L1,yolov10b,B,42,P0,65,,pending,"headline number lives here"
2,L2,yolov10n,B,42,P0,25,,pending,
2,L3,yolo11s,B,42,P0,25,,pending,
2,L2,yolo11x,B,42,P1,105,,pending,
2,L3,yolov10l,B,42,P1,70,,pending,
3,L3,yolo11l,B,42,P1,60,,pending,
3,L4,yolov10m,B,42,P1,45,,pending,
3,L4,yolo11m,B,42,P1,45,,pending,
3,L4,yolov10s,B,42,P1,30,,pending,
3,L4,yolo11n,B,42,P1,22,,pending,
4,L1,yolov10b,B,7,P2,65,,pending,"seed variance; 3 seeds or the +-1.5% noise will eat you"
4,L1,yolov10b,B,1337,P2,65,,pending,
5,any,-,bus_uclm_eval,42,P1,15,,pending,"inference only, YOLOv10b_B + MedSAM, zero-shot"
5,any,-,optuna_reduced,42,P3,180,,pending,"15 trials x 25 ep, MedianPruner, yolov10b only. POST-DEADLINE."
